Raw Data 		Experiment - wj-qpcr (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	3	3	1	7159380	69.14	0.08
A1	Sample 1	3	3	1	7160620	69.34	0.08
A1	Sample 1	3	3	1	7161860	69.52	0.08
A1	Sample 1	3	3	1	7163100	69.72	0.08
A1	Sample 1	3	3	1	7164340	69.92	0.08
A1	Sample 1	3	3	1	7165570	70.13	0.07
A1	Sample 1	3	3	1	7166810	70.34	0.10
A1	Sample 1	3	3	1	7168050	70.51	0.08
A1	Sample 1	3	3	1	7169290	70.75	0.08
A1	Sample 1	3	3	1	7170540	70.93	0.08
A1	Sample 1	3	3	1	7171780	71.16	0.09
A1	Sample 1	3	3	1	7173010	71.33	0.08
A1	Sample 1	3	3	1	7174240	71.54	0.08
A1	Sample 1	3	3	1	7175490	71.74	0.08
A1	Sample 1	3	3	1	7176730	71.95	0.07
A1	Sample 1	3	3	1	7177960	72.13	0.08
A1	Sample 1	3	3	1	7179190	72.35	0.09
A1	Sample 1	3	3	1	7180440	72.53	0.09
A1	Sample 1	3	3	1	7181680	72.76	0.08
A1	Sample 1	3	3	1	7182900	72.94	0.08
A1	Sample 1	3	3	1	7184130	73.14	0.08
A1	Sample 1	3	3	1	7185370	73.35	0.10
A1	Sample 1	3	3	1	7186600	73.55	0.08
A1	Sample 1	3	3	1	7187840	73.75	0.09
A1	Sample 1	3	3	1	7189090	73.95	0.08
A1	Sample 1	3	3	1	7190330	74.15	0.07
A1	Sample 1	3	3	1	7191560	74.33	0.09
A1	Sample 1	3	3	1	7192800	74.57	0.08
A1	Sample 1	3	3	1	7194040	74.74	0.07
A1	Sample 1	3	3	1	7195280	74.97	0.09
A1	Sample 1	3	3	1	7196510	75.15	0.08
A1	Sample 1	3	3	1	7197750	75.35	0.08
A1	Sample 1	3	3	1	7198990	75.56	0.07
A1	Sample 1	3	3	1	7200220	75.76	0.08
A1	Sample 1	3	3	1	7201460	75.96	0.08
A1	Sample 1	3	3	1	7202700	76.17	0.08
A1	Sample 1	3	3	1	7203930	76.37	0.07
A1	Sample 1	3	3	1	7205160	76.54	0.09
A1	Sample 1	3	3	1	7206400	76.77	0.07
A1	Sample 1	3	3	1	7207620	76.96	0.07
A1	Sample 1	3	3	1	7208860	77.15	0.08
A1	Sample 1	3	3	1	7210100	77.36	0.07
A1	Sample 1	3	3	1	7211340	77.56	0.09
A1	Sample 1	3	3	1	7212580	77.76	0.09
A1	Sample 1	3	3	1	7213820	77.97	0.08
A1	Sample 1	3	3	1	7215060	78.18	0.07
A1	Sample 1	3	3	1	7216300	78.37	0.08
A1	Sample 1	3	3	1	7217530	78.58	0.08
A1	Sample 1	3	3	1	7218790	78.79	0.08
A1	Sample 1	3	3	1	7220020	78.99	0.08
A1	Sample 1	3	3	1	7221260	79.16	0.07
A1	Sample 1	3	3	1	7222500	79.4	0.08
A1	Sample 1	3	3	1	7223740	79.57	0.08
A1	Sample 1	3	3	1	7224980	79.79	0.07
A1	Sample 1	3	3	1	7226210	79.99	0.07
A1	Sample 1	3	3	1	7227430	80.19	0.07
A1	Sample 1	3	3	1	7228690	80.4	0.08
A1	Sample 1	3	3	1	7229910	80.58	0.08
A1	Sample 1	3	3	1	7231160	80.78	0.08
A1	Sample 1	3	3	1	7232380	81.01	0.08
A1	Sample 1	3	3	1	7233640	81.19	0.07
A1	Sample 1	3	3	1	7234900	81.39	0.08
